text,label
"This movie completely blew me away, the acting and pacing were fantastic.",POSITIVE
"A total waste of time, the plot made no sense and the dialogue was painful.",NEGATIVE
"I loved every minute of it, one of the best films I have seen this year.",POSITIVE
"The special effects were impressive but the story dragged on forever.",NEGATIVE
"Brilliant performances from the whole cast, I would watch it again.",POSITIVE
"Boring from start to finish, I almost fell asleep halfway through.",NEGATIVE
"A heartwarming story with a great soundtrack, highly recommended.",POSITIVE
"Poorly directed and badly edited, this was a disappointing experience.",NEGATIVE
"The screenplay was clever and the ending genuinely surprised me.",POSITIVE
"None of the jokes landed and the runtime felt twice as long as it was.",NEGATIVE
"An emotional rollercoaster that kept me hooked until the credits rolled.",POSITIVE
"The characters were flat and I never cared about what happened to them.",NEGATIVE
"Gorgeous cinematography paired with a truly moving performance.",POSITIVE
"I wanted to like this but the plot holes were too big to ignore.",NEGATIVE
"A fun, feel-good movie that the whole family enjoyed.",POSITIVE
"The sequel fails to capture what made the original so special.",NEGATIVE
"Tight editing and a gripping script make this a must-watch.",POSITIVE
"Cheap-looking sets and wooden acting ruined an interesting premise.",NEGATIVE
"Easily the funniest comedy I have seen in a long time.",POSITIVE
"Predictable twists and a rushed third act let the film down.",NEGATIVE
"It was okay, nothing I would rush to recommend but not a bad way to spend an evening.",NEUTRAL
"Some parts worked, some didn't; overall a pretty average watch.",NEUTRAL
"The film runs about two hours and covers a small-town family over one summer.",NEUTRAL
"Decent acting, forgettable script, the kind of movie you forget a week later.",NEUTRAL
"It's a sequel to the 2019 film and was shot mostly on location in Portugal.",NEUTRAL
"Not the best, not the worst, right in the middle for this genre.",NEUTRAL
"The director also worked on two other films released the same year.",NEUTRAL
"Fine for a lazy Sunday afternoon, though I doubt I will watch it again.",NEUTRAL
"The cast includes three actors from the original stage production.",NEUTRAL
"Middle-of-the-road thriller, competent but nothing that stands out.",NEUTRAL
